Expert,Layer,Block Influence (Angular)
0,0,0.11314263939857483
0,1,0.10480274260044098
0,2,0.15032891929149628
0,3,0.1669897586107254
0,4,0.09178715199232101
0,5,0.04787096753716469
0,6,0.030960528180003166
0,7,0.0976695641875267
1,0,0.1381916105747223
1,1,0.15375091135501862
1,2,0.1780485361814499
1,3,0.1314561814069748
1,4,0.05492540821433067
1,5,0.029709717258810997
1,6,0.029165763407945633
1,7,0.058726564049720764
2,0,0.0996789038181305
2,1,0.09100455790758133
2,2,0.11100791394710541
2,3,0.09904874861240387
2,4,0.0945701077580452
2,5,0.06008259207010269
2,6,0.04115614667534828
2,7,0.06223437562584877
3,0,0.12811130285263062
3,1,0.11417879909276962
3,2,0.2310420721769333
3,3,0.13711847364902496
3,4,0.046029768884181976
3,5,0.030860742554068565
3,6,0.03593400865793228
3,7,0.05322999134659767
4,0,0.10215581208467484
4,1,0.1226189136505127
4,2,0.19088122248649597
4,3,0.11860929429531097
4,4,0.0395670048892498
4,5,0.02727722004055977
4,6,0.030183563008904457
4,7,0.058975256979465485
5,0,0.1280040442943573
5,1,0.12858985364437103
5,2,0.1382438838481903
5,3,0.08984865248203278
5,4,0.04867371544241905
5,5,0.0386367030441761
5,6,0.04224320873618126
5,7,0.04450209438800812
6,0,0.12769433856010437
6,1,0.13483625650405884
6,2,0.2196962684392929
6,3,0.12627610564231873
6,4,0.0497731976211071
6,5,0.03360218182206154
6,6,0.024767665192484856
6,7,0.04338216781616211
7,0,0.16253304481506348
7,1,0.14352305233478546
7,2,0.17658299207687378
7,3,0.2123066633939743
7,4,0.08285854756832123
7,5,0.03905217722058296
7,6,0.028977170586586
7,7,0.06963049620389938
