Expert,Layer,Block Influence (Angular)
0,0,0.10590562224388123
0,1,0.10021515190601349
0,2,0.14723311364650726
0,3,0.16262629628181458
0,4,0.08631248027086258
0,5,0.046422697603702545
0,6,0.030725575983524323
0,7,0.09829219430685043
1,0,0.13586139678955078
1,1,0.15914835035800934
1,2,0.17590859532356262
1,3,0.12783724069595337
1,4,0.053039174526929855
1,5,0.030027590692043304
1,6,0.030103914439678192
1,7,0.058982208371162415
2,0,0.10414432734251022
2,1,0.08993900567293167
2,2,0.10912624001502991
2,3,0.08888999372720718
2,4,0.09034614264965057
2,5,0.05946142598986626
2,6,0.04108918830752373
2,7,0.061686065047979355
3,0,0.12997041642665863
3,1,0.11444795876741409
3,2,0.23091533780097961
3,3,0.13709770143032074
3,4,0.045739322900772095
3,5,0.031451933085918427
3,6,0.03653745353221893
3,7,0.053213100880384445
4,0,0.09777294844388962
4,1,0.1173500344157219
4,2,0.18429683148860931
4,3,0.11943045258522034
4,4,0.040850210934877396
4,5,0.028132116422057152
4,6,0.03069419413805008
4,7,0.05917195975780487
5,0,0.12797768414020538
5,1,0.13087192177772522
5,2,0.13832710683345795
5,3,0.08660075813531876
5,4,0.04593847692012787
5,5,0.037716615945100784
5,6,0.042116742581129074
5,7,0.044385798275470734
6,0,0.12813876569271088
6,1,0.13847756385803223
6,2,0.21799062192440033
6,3,0.12423376739025116
6,4,0.05086152255535126
6,5,0.03479103371500969
6,6,0.02565288543701172
6,7,0.043218858540058136
7,0,0.15298040211200714
7,1,0.13536123931407928
7,2,0.17133848369121552
7,3,0.21296674013137817
7,4,0.08814673870801926
7,5,0.040512338280677795
7,6,0.029637260362505913
7,7,0.06936431676149368
