Expert,Layer,Block Influence (Angular)
0,0,0.13143610954284668
0,1,0.1343240588903427
0,2,0.153628870844841
0,3,0.15809288620948792
0,4,0.10288975387811661
0,5,0.06643103063106537
0,6,0.04479053616523743
0,7,0.07425501197576523
1,0,0.13359121978282928
1,1,0.138820618391037
1,2,0.16135992109775543
1,3,0.11260117590427399
1,4,0.051644932478666306
1,5,0.03427709639072418
1,6,0.02740076743066311
1,7,0.04757754132151604
2,0,0.13766683638095856
2,1,0.13631828129291534
2,2,0.2271699160337448
2,3,0.0988195613026619
2,4,0.037280529737472534
2,5,0.02889672853052616
2,6,0.03796733170747757
2,7,0.07357903569936752
3,0,0.14064835011959076
3,1,0.1366315484046936
3,2,0.18826420605182648
3,3,0.09835789352655411
3,4,0.04103156924247742
3,5,0.030634038150310516
3,6,0.04488081857562065
3,7,0.07652825862169266
4,0,0.13686798512935638
4,1,0.13030077517032623
4,2,0.18809472024440765
4,3,0.10255574434995651
4,4,0.03954245522618294
4,5,0.031196191906929016
4,6,0.04020345211029053
4,7,0.07270495593547821
5,0,0.14132750034332275
5,1,0.13767942786216736
5,2,0.18654721975326538
5,3,0.14458748698234558
5,4,0.06075207144021988
5,5,0.04107781499624252
5,6,0.047868482768535614
5,7,0.1083771139383316
6,0,0.13312280178070068
6,1,0.1228834018111229
6,2,0.1744881570339203
6,3,0.11798295378684998
6,4,0.04875802621245384
6,5,0.031805772334337234
6,6,0.03045537881553173
6,7,0.06892953813076019
7,0,0.14332462847232819
7,1,0.1349419504404068
7,2,0.21775121986865997
7,3,0.11867961287498474
7,4,0.04405222460627556
7,5,0.032062284648418427
7,6,0.03715956583619118
7,7,0.08441372960805893
