Dataset,Modelo,Camada,BI (Cosseno),BI (Angular),Ângulo (Graus)
cora,pretrn_gen0,0,0.08349680155515671,0.12908729910850525,23.235713839530945
cora,pretrn_gen0,1,0.01720220223069191,0.05831681936979294,10.497027486562729
cora,pretrn_gen0,2,0.04518955573439598,0.09281805157661438,16.70724928379059
cora,pretrn_gen0,3,0.07418279349803925,0.12070512771606445,21.7269229888916
cora,pretrn_gen1,0,0.04912319779396057,0.10478498041629791,18.861296474933624
cora,pretrn_gen1,1,0.01449164655059576,0.053322602063417435,9.598068371415138
cora,pretrn_gen1,2,0.008860096335411072,0.042016416788101196,7.562955021858215
cora,pretrn_gen1,3,0.005419913679361343,0.033704549074172974,6.066818833351135
cora,pretrn_gen2,0,0.06583436578512192,0.11184442043304443,20.131995677947998
cora,pretrn_gen2,1,0.023288240656256676,0.06611517071723938,11.900730729103088
cora,pretrn_gen2,2,0.013595332391560078,0.05140407010912895,9.252732619643211
cora,pretrn_gen2,3,0.008295875042676926,0.04135461151599884,7.443830072879791
pubmed,pretrn_gen0,0,0.17806674540042877,0.23872148990631104,42.969868183135986
pubmed,pretrn_gen0,1,0.023186465725302696,0.07784931361675262,14.012876451015472
pubmed,pretrn_gen0,2,0.07534493505954742,0.14122849702835083,25.42112946510315
pubmed,pretrn_gen0,3,0.12157636135816574,0.18176569044589996,32.71782428026199
pubmed,pretrn_gen1,0,0.20384107530117035,0.2128884494304657,38.319920897483826
pubmed,pretrn_gen1,1,0.027749262750148773,0.07719143480062485,13.894458264112473
pubmed,pretrn_gen1,2,0.0145964864641428,0.05449802055954933,9.80964370071888
pubmed,pretrn_gen1,3,0.009352879598736763,0.04391063377261162,7.903914079070091
pubmed,pretrn_gen2,0,0.24816416203975677,0.23145370185375214,41.661666333675385
pubmed,pretrn_gen2,1,0.037764254957437515,0.08743929862976074,15.739073753356934
pubmed,pretrn_gen2,2,0.019341398030519485,0.064412422478199,11.594236046075821
pubmed,pretrn_gen2,3,0.011344912461936474,0.048800114542245865,8.784020617604256
