Expert,Layer,Block Influence (Cosseno)
0,0,0.06298752129077911
0,1,0.05417559668421745
0,2,0.11033282428979874
0,3,0.13575118780136108
0,4,0.04166052117943764
0,5,0.012181091122329235
0,6,0.004884760826826096
0,7,0.046737249940633774
1,0,0.0929303765296936
1,1,0.11479684710502625
1,2,0.1532222479581833
1,3,0.08429550379514694
1,4,0.015029465779662132
1,5,0.0043886564671993256
1,6,0.004197200760245323
1,7,0.016971517354249954
2,0,0.04895951226353645
2,1,0.04077159985899925
2,2,0.06065870821475983
2,3,0.050147995352745056
2,4,0.04400167241692543
2,5,0.01789717935025692
2,6,0.008428282104432583
2,7,0.019131643697619438
3,0,0.08005758374929428
3,1,0.06380078941583633
3,2,0.25239816308021545
3,3,0.09157881885766983
3,4,0.010506621561944485
3,5,0.004707063548266888
3,6,0.006367756985127926
3,7,0.013950543478131294
4,0,0.0515354759991169
4,1,0.07347821444272995
4,2,0.1748024970293045
4,3,0.06875000149011612
4,4,0.007742599584162235
4,5,0.0036754771135747433
4,6,0.004494504537433386
4,7,0.01711498200893402
5,0,0.0799252912402153
5,1,0.08083570003509521
5,2,0.09301229566335678
5,3,0.04057816043496132
5,4,0.012097081169486046
5,5,0.007398406509310007
5,6,0.008796200156211853
5,7,0.009758505038917065
6,0,0.07953651249408722
6,1,0.0889173373579979
6,2,0.22936171293258667
6,3,0.07795078307390213
6,4,0.012332171201705933
6,5,0.005638345144689083
6,6,0.0030414194334298372
6,7,0.009273555129766464
7,0,0.12951084971427917
7,1,0.10031866282224655
7,2,0.15062712132930756
7,3,0.21489469707012177
7,4,0.034070465713739395
7,5,0.007593055255711079
7,6,0.004153053276240826
7,7,0.02383306622505188
