Expert,Layer,Block Influence (Cosseno)
0,0,0.07413174211978912
0,1,0.05193360522389412
0,2,0.06295320391654968
0,3,0.07254454493522644
0,4,0.017071601003408432
0,5,0.006443724501878023
0,6,0.004629430361092091
0,7,0.02868143655359745
1,0,0.07618534564971924
1,1,0.17046242952346802
1,2,0.17547161877155304
1,3,0.1076989620923996
1,4,0.054211944341659546
1,5,0.02690555527806282
1,6,0.012102482840418816
1,7,0.010182937607169151
2,0,0.18178142607212067
2,1,0.07760094851255417
2,2,0.17525744438171387
2,3,0.04444544389843941
2,4,0.008413711562752724
2,5,0.004627481568604708
2,6,0.007232247851788998
2,7,0.02640736661851406
3,0,0.07107188552618027
3,1,0.06621246039867401
3,2,0.13808517158031464
3,3,0.12219469994306564
3,4,0.022587621584534645
3,5,0.005717754364013672
3,6,0.008996956050395966
3,7,0.028636297211050987
4,0,0.12563204765319824
4,1,0.12210801243782043
4,2,0.18120913207530975
4,3,0.16119001805782318
4,4,0.035715728998184204
4,5,0.007109043188393116
4,6,0.007624566555023193
4,7,0.02583913691341877
5,0,0.061733148992061615
5,1,0.10661103576421738
5,2,0.2546985149383545
5,3,0.10864537209272385
5,4,0.017132697626948357
5,5,0.008571235463023186
5,6,0.011136353947222233
5,7,0.05899327993392944
6,0,0.18558663129806519
6,1,0.08005116879940033
6,2,0.1351603865623474
6,3,0.06926850229501724
6,4,0.01405862532556057
6,5,0.004835363477468491
6,6,0.00395229971036315
6,7,0.02390780672430992
7,0,0.1093127578496933
7,1,0.08883387595415115
7,2,0.1632813811302185
7,3,0.04601418226957321
7,4,0.01251232624053955
7,5,0.00749593460932374
7,6,0.007398726884275675
7,7,0.035588767379522324
