Expert,Layer,Block Influence (Cosseno)
0,0,0.08507654815912247
0,1,0.08813250809907913
0,2,0.11489046365022659
0,3,0.12224798649549484
0,4,0.053063832223415375
0,5,0.022370660677552223
0,6,0.010104103945195675
0,7,0.02747800201177597
1,0,0.08742526173591614
1,1,0.09422452002763748
1,2,0.12629616260528564
1,3,0.06226491183042526
1,4,0.013229710049927235
1,5,0.005841699428856373
1,6,0.003717903047800064
1,7,0.01115094032138586
2,0,0.09295996278524399
2,1,0.09087207168340683
2,2,0.24454060196876526
2,3,0.04816707223653793
2,4,0.006891930941492319
2,5,0.0041258870624005795
2,6,0.007106201257556677
2,7,0.026598231866955757
3,0,0.09689727425575256
3,1,0.09118707478046417
3,2,0.17026682198047638
3,3,0.04770702123641968
3,4,0.008351108990609646
3,5,0.0046329014003276825
3,6,0.009925098158419132
3,7,0.02876231074333191
4,0,0.09185190498828888
4,1,0.08309124410152435
4,2,0.16998034715652466
4,3,0.05168699473142624
4,4,0.0077584292739629745
4,5,0.004807565826922655
4,6,0.007967120036482811
4,7,0.025972846895456314
5,0,0.09766638278961182
5,1,0.09279455244541168
5,2,0.1677669882774353
5,3,0.10231035202741623
5,4,0.018309947103261948
5,5,0.008342770859599113
5,6,0.01129058189690113
5,7,0.05740519240498543
6,0,0.08682968467473984
6,1,0.07410115748643875
6,2,0.14694535732269287
6,3,0.06821353733539581
6,4,0.011777506209909916
6,5,0.005003892816603184
6,6,0.004575962666422129
6,7,0.02335686981678009
7,0,0.10030493140220642
7,1,0.08911425620317459
7,2,0.22571200132369995
7,3,0.06951402127742767
7,4,0.009636817499995232
7,5,0.005081006791442633
7,6,0.006809336133301258
7,7,0.03495965525507927
