Configuração,Camadas Removidas,Camadas Restantes,Redução Parâmetros (%),Dataset,Acurácia,F1-Score
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,arxiv,0.5133839474929531,0.29525587878540593
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,cora,0.629759812536614,0.5712038385296008
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,home,0.6583248212461695,0.38470735541654394
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,pubmed,0.5641480730223124,0.5648495850017056
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,tech,0.8619017499472907,0.8101673169246729
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,OVERALL,0.5755062680810029,0.40006946539347094
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,arxiv,0.5095158735057507,0.3011126852454608
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,cora,0.5641476274165202,0.5099974393786908
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,home,0.6618998978549541,0.5486233327775173
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,pubmed,0.6643002028397565,0.6503837442229634
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,tech,0.9465528146742568,0.9018622957377666
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,OVERALL,0.5872709739633558,0.4238631378857085
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,arxiv,0.5844083698537127,0.4252171594424845
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,cora,0.60398359695372,0.5420154180845916
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,home,0.6292134831460674,0.5471074099003769
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,pubmed,0.7431541582150102,0.7385711107446812
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,tech,0.8468269028041324,0.7508617400795186
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,OVERALL,0.6329204064980343,0.4988369627398582
