Dataset,Acc_mean,Acc_std,F1_mean,F1_std,tstNum_mean,tstNum_std,Checkpoint,Sparsity,Repeat
arxiv,0.6406806164228546,0.0,0.3997452173227808,0.0,48603.0,0.0,pretrain_link2,0.0,1
cora,0.624780316344464,0.0,0.5645761303139812,0.0,3414.0,0.0,pretrain_link2,0.0,1
home,0.6726251276813074,0.0,0.44860476746989014,0.0,1958.0,0.0,pretrain_link2,0.0,1
pubmed,0.5948275862068966,0.0,0.5472601636641111,0.0,3944.0,0.0,pretrain_link2,0.0,1
tech,0.6278726544381193,0.0,0.3668373510302018,0.0,9486.0,0.0,pretrain_link2,0.0,1
OVERALL,0.6363177805800757,0.0,0.4135132562643845,0.0,,,pretrain_link2,0.0,1
arxiv,0.6509474723782482,0.0,0.4089479325857015,0.0,48603.0,0.0,pretrain_link2,0.0,2
cora,0.6271236086701816,0.0,0.5669485594568922,0.0,3414.0,0.0,pretrain_link2,0.0,2
home,0.7165474974463738,0.0,0.5404562244184885,0.0,1958.0,0.0,pretrain_link2,0.0,2
pubmed,0.717292089249493,0.0,0.7096424471167723,0.0,3944.0,0.0,pretrain_link2,0.0,2
tech,0.9229390681003584,0.0,0.8877318349722142,0.0,9486.0,0.0,pretrain_link2,0.0,2
OVERALL,0.693806097470514,0.0,0.5057447672255033,0.0,,,pretrain_link2,0.0,2
arxiv,0.6152912371664301,0.0,0.3437621704491566,0.0,48603.0,0.0,pretrain_link2,0.0,3
cora,0.6280023432923257,0.0,0.5708214052711238,0.0,3414.0,0.0,pretrain_link2,0.0,3
home,0.6235955056179775,0.0,0.3078154525469553,0.0,1958.0,0.0,pretrain_link2,0.0,3
pubmed,0.7000507099391481,0.0,0.6984761435082989,0.0,3944.0,0.0,pretrain_link2,0.0,3
tech,0.6060510225595614,0.0,0.31728549490222174,0.0,9486.0,0.0,pretrain_link2,0.0,3
OVERALL,0.6198353237890364,0.0,0.37124723416159205,0.0,,,pretrain_link2,0.0,3
arxiv,0.629734790033537,0.0,0.3691890087358975,0.0,48603.0,0.0,pretrain_link2,0.0,4
cora,0.6256590509666081,0.0,0.5605634135577415,0.0,3414.0,0.0,pretrain_link2,0.0,4
home,0.7349336057201226,0.0,0.506187089460014,0.0,1958.0,0.0,pretrain_link2,0.0,4
